dateTime,value,flag,score
"2025-01-01T00:00:00-08:00",0.00,c,-1
"2025-01-01T12:00:00-08:00",0.00,c,-1
"2025-01-02T00:00:00-08:00",0.00,c,-1
"2025-01-02T12:00:00-08:00",0.00,c,-1
"2025-01-03T00:00:00-08:00",0.00,c,-1
"2025-01-03T12:00:00-08:00",0.00,c,-1
"2025-01-04T00:00:00-08:00",0.00,c,-1
"2025-01-04T12:00:00-08:00",0.00,c,-1
"2025-01-05T00:00:00-08:00",0.00,c,-1
"2025-01-05T12:00:00-08:00",0.00,c,-1
"2025-01-06T00:00:00-08:00",0.00,c,-1
"2025-01-06T12:00:00-08:00",0.00,c,-1
"2025-01-07T00:00:00-08:00",0.00,c,-1
"2025-01-07T12:00:00-08:00",0.00,c,-1
"2025-01-08T00:00:00-08:00",0.00,c,-1
"2025-01-08T12:00:00-08:00",0.00,c,-1
"2025-01-09T00:00:00-08:00",0.00,c,-1
"2025-01-09T12:00:00-08:00",0.00,c,-1
"2025-01-10T00:00:00-08:00",0.00,c,-1
"2025-01-10T12:00:00-08:00",0.00,c,-1
"2025-01-11T00:00:00-08:00",0.00,c,-1
"2025-01-11T12:00:00-08:00",0.00,c,-1
"2025-01-12T00:00:00-08:00",0.00,c,-1
"2025-01-12T12:00:00-08:00",0.00,c,-1
"2025-01-13T00:00:00-08:00",0.00,c,-1
"2025-01-13T12:00:00-08:00",0.00,c,-1
"2025-01-14T00:00:00-08:00",0.00,c,-1
"2025-01-14T12:00:00-08:00",0.00,c,-1
"2025-01-15T00:00:00-08:00",0.00,c,-1
"2025-01-15T12:00:00-08:00",0.00,c,-1
"2025-01-16T00:00:00-08:00",0.00,c,-1
"2025-01-16T12:00:00-08:00",0.00,c,-1
"2025-01-17T00:00:00-08:00",0.00,c,-1
"2025-01-17T12:00:00-08:00",0.00,c,-1
"2025-01-18T00:00:00-08:00",0.00,c,-1
"2025-01-18T12:00:00-08:00",0.00,c,-1
"2025-01-19T00:00:00-08:00",0.00,c,-1
"2025-01-19T12:00:00-08:00",0.00,c,-1
"2025-01-20T00:00:00-08:00",0.00,c,-1
"2025-01-20T12:00:00-08:00",0.00,c,-1
"2025-01-21T00:00:00-08:00",0.00,c,-1
"2025-01-21T12:00:00-08:00",0.00,c,-1
"2025-01-22T00:00:00-08:00",0.00,c,-1
"2025-01-22T12:00:00-08:00",0.00,c,-1
"2025-01-23T00:00:00-08:00",0.00,c,-1
"2025-01-23T12:00:00-08:00",0.00,c,-1
"2025-01-24T00:00:00-08:00",0.00,c,-1
"2025-01-24T12:00:00-08:00",0.00,c,-1
"2025-01-25T00:00:00-08:00",0.00,c,-1
"2025-01-25T12:00:00-08:00",0.00,c,-1
"2025-01-26T00:00:00-08:00",0.00,c,-1
"2025-01-26T12:00:00-08:00",0.00,c,-1
"2025-01-27T00:00:00-08:00",0.00,c,-1
"2025-01-27T12:00:00-08:00",0.00,c,-1
"2025-01-28T00:00:00-08:00",0.00,c,-1
"2025-01-28T12:00:00-08:00",0.00,c,-1
"2025-01-29T00:00:00-08:00",0.00,c,-1
"2025-01-29T12:00:00-08:00",0.00,c,-1
"2025-01-30T00:00:00-08:00",0.00,c,-1
"2025-01-30T12:00:00-08:00",0.00,c,-1
"2025-01-31T00:00:00-08:00",0.00,c,-1
"2025-01-31T12:00:00-08:00",0.00,c,-1
"2025-02-01T00:00:00-08:00",0.00,c,-1
"2025-02-01T12:00:00-08:00",0.00,c,-1
"2025-02-02T00:00:00-08:00",0.00,c,-1
"2025-02-02T12:00:00-08:00",0.00,c,-1
"2025-02-03T00:00:00-08:00",0.00,c,-1
"2025-02-03T12:00:00-08:00",0.00,c,-1
"2025-02-04T00:00:00-08:00",0.00,c,-1
"2025-02-04T12:00:00-08:00",0.00,c,-1
"2025-02-05T00:00:00-08:00",0.00,c,-1
"2025-02-05T12:00:00-08:00",0.00,c,-1
"2025-02-06T00:00:00-08:00",0.00,c,-1
"2025-02-06T12:00:00-08:00",0.00,c,-1
"2025-02-07T00:00:00-08:00",0.00,c,-1
"2025-02-07T12:00:00-08:00",0.00,c,-1
"2025-02-08T00:00:00-08:00",0.00,c,-1
"2025-02-08T12:00:00-08:00",0.00,c,-1
"2025-02-09T00:00:00-08:00",0.00,c,-1
"2025-02-09T12:00:00-08:00",0.00,c,-1
"2025-02-10T00:00:00-08:00",0.00,c,-1
"2025-02-10T12:00:00-08:00",0.00,c,-1
"2025-02-11T00:00:00-08:00",0.00,c,-1
"2025-02-11T12:00:00-08:00",0.00,c,-1
"2025-02-12T00:00:00-08:00",0.00,c,-1
"2025-02-12T12:00:00-08:00",0.00,c,-1
"2025-02-13T00:00:00-08:00",0.00,c,-1
"2025-02-13T07:30:00-08:00",0.04,c,-1
"2025-02-13T08:00:00-08:00",0.04,c,-1
"2025-02-13T09:00:00-08:00",0.04,c,-1
"2025-02-13T09:45:00-08:00",0.04,c,-1
"2025-02-13T10:00:00-08:00",0.04,c,-1
"2025-02-13T10:30:00-08:00",0.04,c,-1
"2025-02-13T11:00:00-08:00",0.04,c,-1
"2025-02-13T11:30:00-08:00",0.20,c,-1
"2025-02-13T11:45:00-08:00",0.24,c,-1
"2025-02-13T12:00:00-08:00",0.20,c,-1
"2025-02-13T12:15:00-08:00",0.20,c,-1
"2025-02-14T07:30:00-08:00",0.00,c,-1
"2025-02-14T12:00:00-08:00",0.00,c,-1
"2025-02-15T00:00:00-08:00",0.00,c,-1
"2025-02-15T12:00:00-08:00",0.00,c,-1
"2025-02-16T12:00:00-08:00",0.00,c,-1
"2025-02-17T00:00:00-08:00",0.00,c,-1
"2025-02-17T12:00:00-08:00",0.00,c,-1
"2025-02-18T00:00:00-08:00",0.00,c,-1
"2025-02-18T12:00:00-08:00",0.00,c,-1
"2025-02-19T00:00:00-08:00",0.00,c,-1
"2025-02-19T12:00:00-08:00",0.00,c,-1
"2025-02-20T00:00:00-08:00",0.00,c,-1
"2025-02-20T12:00:00-08:00",0.00,c,-1
"2025-02-21T00:00:00-08:00",0.00,c,-1
"2025-02-21T12:00:00-08:00",0.00,c,-1
"2025-02-22T00:00:00-08:00",0.00,c,-1
"2025-02-22T12:00:00-08:00",0.00,c,-1
"2025-02-23T00:00:00-08:00",0.00,c,-1
"2025-02-23T12:00:00-08:00",0.00,c,-1
"2025-02-24T00:00:00-08:00",0.00,c,-1
"2025-02-24T12:00:00-08:00",0.00,c,-1
"2025-02-25T00:00:00-08:00",0.00,c,-1
"2025-02-25T12:00:00-08:00",0.00,c,-1
"2025-02-26T00:00:00-08:00",0.00,c,-1
"2025-02-26T12:00:00-08:00",0.00,c,-1
"2025-02-27T00:00:00-08:00",0.00,c,-1
"2025-02-27T12:00:00-08:00",0.00,c,-1
"2025-02-28T00:00:00-08:00",0.00,c,-1
"2025-02-28T12:00:00-08:00",0.00,c,-1
"2025-03-01T00:00:00-08:00",0.00,c,-1
"2025-03-01T12:00:00-08:00",0.00,c,-1
"2025-03-02T00:00:00-08:00",0.00,c,-1
"2025-03-02T12:00:00-08:00",0.00,c,-1
"2025-03-03T00:00:00-08:00",0.00,c,-1
"2025-03-03T12:00:00-08:00",0.00,c,-1
"2025-03-04T00:00:00-08:00",0.00,c,-1
"2025-03-04T12:00:00-08:00",0.00,c,-1
"2025-03-05T00:00:00-08:00",0.00,c,-1
"2025-03-05T11:00:00-08:00",0.00,c,-1
"2025-03-05T12:00:00-08:00",0.00,c,-1
"2025-03-06T00:00:00-08:00",0.00,c,-1
"2025-03-06T06:30:00-08:00",0.04,c,-1
"2025-03-06T10:45:00-08:00",0.00,c,-1
"2025-03-06T12:00:00-08:00",0.00,c,-1
"2025-03-07T00:00:00-08:00",0.00,c,-1
"2025-03-07T12:00:00-08:00",0.00,c,-1
"2025-03-08T00:00:00-08:00",0.00,c,-1
"2025-03-08T12:00:00-08:00",0.00,c,-1
"2025-03-09T00:00:00-08:00",0.00,c,-1
"2025-03-09T12:00:00-08:00",0.00,c,-1
"2025-03-10T00:00:00-08:00",0.00,c,-1
"2025-03-10T12:00:00-08:00",0.00,c,-1
"2025-03-11T00:00:00-08:00",0.00,c,-1
"2025-03-11T12:00:00-08:00",0.00,c,-1
"2025-03-12T00:00:00-08:00",0.00,c,-1
"2025-03-12T12:00:00-08:00",0.00,c,-1
"2025-03-13T00:00:00-08:00",0.00,c,-1
"2025-03-13T12:00:00-08:00",0.00,c,-1
"2025-03-13T17:45:00-08:00",0.04,c,-1
"2025-03-13T18:00:00-08:00",0.04,c,-1
"2025-03-14T00:00:00-08:00",0.00,c,-1
"2025-03-14T12:00:00-08:00",0.00,c,-1
"2025-03-15T00:00:00-08:00",0.00,c,-1
"2025-03-15T12:00:00-08:00",0.00,c,-1
"2025-03-16T00:00:00-08:00",0.00,c,-1
"2025-03-16T12:00:00-08:00",0.00,c,-1
"2025-03-17T00:00:00-08:00",0.00,c,-1
"2025-03-17T12:00:00-08:00",0.00,c,-1
"2025-03-18T00:00:00-08:00",0.00,c,-1
"2025-03-18T12:00:00-08:00",0.00,c,-1
"2025-03-19T00:00:00-08:00",0.00,c,-1
"2025-03-19T12:00:00-08:00",0.00,c,-1
"2025-03-20T00:00:00-08:00",0.00,c,-1
"2025-03-20T12:00:00-08:00",0.00,c,-1
"2025-03-21T00:00:00-08:00",0.00,c,-1
"2025-03-21T12:00:00-08:00",0.00,c,-1
"2025-03-22T00:00:00-08:00",0.00,c,-1
"2025-03-22T12:00:00-08:00",0.00,c,-1
"2025-03-23T00:00:00-08:00",0.00,c,-1
"2025-03-23T12:00:00-08:00",0.00,c,-1
"2025-03-24T00:00:00-08:00",0.00,c,-1
"2025-03-24T12:00:00-08:00",0.00,c,-1
"2025-03-25T00:00:00-08:00",0.00,c,-1
"2025-03-25T12:00:00-08:00",0.00,c,-1
